,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
21,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.003,OS Credential Dumping: NTDS,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
22,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.004,OS Credential Dumping: LSA Secrets,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
23,veris,1.4.0,action.malware,action.malware.variety.RAM scraper,RAM scraper or memory parser (capture data from volatile memory),related-to,T1003.004,OS Credential Dumping: LSA Secrets,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
24,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.004,OS Credential Dumping: LSA Secrets,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
25,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.005,OS Credential Dumping: Cached Domain Credentials,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
26,veris,1.4.0,action.malware,action.malware.variety.RAM scraper,RAM scraper or memory parser (capture data from volatile memory),related-to,T1003.005,OS Credential Dumping: Cached Domain Credentials,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
27,veris,1.4.0,action.malware,action.malware.vector.Email link,Email via embedded link. Child of 'Email',related-to,T1003.005,OS Credential Dumping: Cached Domain Credentials,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
28,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.005,OS Credential Dumping: Cached Domain Credentials,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
29,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1003.006,OS Credential Dumping: DCSync,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
30,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1003.006,OS Credential Dumping: DCSync,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
31,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.006,OS Credential Dumping: DCSync,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
32,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.006,OS Credential Dumping: DCSync,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
33,veris,1.4.0,action.malware,action.malware.variety.In-memory,(malware never stored to persistent storage),related-to,T1003.007,OS Credential Dumping: Proc Filesystem,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
34,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.007,OS Credential Dumping: Proc Filesystem,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
35,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.007,OS Credential Dumping: Proc Filesystem,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
36,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
37,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
38,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
39,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1005,Data from Local System,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
40,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1005,Data from Local System,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
41,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1006,Direct Volume Access,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
42,veris,1.4.0,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1007,System Service Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
43,veris,1.4.0,action.malware,action.malware.variety.Profile host,Enumerating the state of the current host,related-to,T1007,System Service Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
44,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1008,Fallback Channels,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
45,veris,1.4.0,action.hacking,action.hacking.vector.Other network service,Network service that is not remote access or a web application.,related-to,T1008,Fallback Channels,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
46,veris,1.4.0,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1008,Fallback Channels,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
47,veris,1.4.0,action.malware,action.malware.variety.C2,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1008,Fallback Channels,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
48,veris,1.4.0,action.hacking,action.hacking.variety.XPath injection,XPath injection. Child of 'Exploit vuln'.,related-to,T1010,Application Window Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
49,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1010,Application Window Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
50,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1011,Exfiltration Over Other Network Medium,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
51,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1011,Exfiltration Over Other Network Medium,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
52,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
53,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
54,veris,1.4.0,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1012,Query Registry,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
55,veris,1.4.0,action.malware,action.malware.variety.Profile host,Enumerating the state of the current host,related-to,T1012,Query Registry,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
56,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
57,veris,1.4.0,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
58,veris,1.4.0,action.malware,action.malware.variety.Rootkit,Rootkit (maintain local privileges and stealth),related-to,T1014,Rootkit,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
59,veris,1.4.0,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1014,Rootkit,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
60,veris,1.4.0,action.malware,action.malware.variety.Scan network,Enumerating the state of the network,related-to,T1016,System Network Configuration Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
61,veris,1.4.0,action.malware,action.malware.variety.Scan network,Enumerating the state of the network,related-to,T1016.001,System Network Configuration Discovery: Internet Connection Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
62,veris,1.4.0,action.malware,action.malware.variety.Scan network,Enumerating the state of the network,related-to,T1016.002,Wi-Fi Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
63,veris,1.4.0,action.hacking,action.hacking.variety.Scan network,Enumerating the state of the network,related-to,T1018,Remote System Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
64,veris,1.4.0,action.malware,action.malware.variety.Scan network,Enumerating the state of the network,related-to,T1018,Remote System Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
65,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1020,Automated Exfiltration,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
66,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1020,Automated Exfiltration,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
67,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1020.001,Automated Exfiltration: Traffic Duplication,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
68,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1020.001,Automated Exfiltration: Traffic Duplication,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
69,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021,Remote Services,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
70,veris,1.4.0,action.malware,action.malware.vector.Network propagation,Network propagation,related-to,T1021,Remote Services,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
71,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.001,Remote Services: Remote Desktop Protocol,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
72,veris,1.4.0,action.hacking,action.hacking.vector.Desktop sharing software,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1021.001,Remote Services: Remote Desktop Protocol,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
73,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.002,Remote Services: SMB/Windows Admin Shares,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
74,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1021.002,Remote Services: SMB/Windows Admin Shares,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
75,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.003,Remote Services: Distributed Component Object Model,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
76,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1021.003,Remote Services: Distributed Component Object Model,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
77,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.004,Remote Services: SSH,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
78,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1021.004,Remote Services: SSH,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
79,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.005,Remote Services: VNC,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
80,veris,1.4.0,action.hacking,action.hacking.vector.Desktop sharing software,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1021.005,Remote Services: VNC,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
81,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.006,Remote Services: Windows Remote Management,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
82,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1021.006,Remote Services: Windows Remote Management,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
83,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.007,Cloud Services,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
84,veris,1.4.0,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1021.008,Direct Cloud VM Connections,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
85,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1021.008,Direct Cloud VM Connections,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
86,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1025,Data from Removable Media,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
87,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1025,Data from Removable Media,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
88,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027,Obfuscated Files or Information,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
89,veris,1.4.0,action.hacking,action.hacking.variety.Null byte injection,Null byte injection. Child of 'Exploit vuln'.,related-to,T1027,Obfuscated Files or Information,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
90,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027,Obfuscated Files or Information,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
91,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.001,Obfuscated Files or Information: Binary Padding,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
92,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027.001,Obfuscated Files or Information: Binary Padding,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
93,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027.002,Obfuscated Files or Information: Software Packaging,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
94,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.003,Obfuscated Files or Information: Steganography,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
95,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027.003,Obfuscated Files or Information: Steganography,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
96,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027.004,Obfuscated Files or Information: Compile After Dilevery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
97,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
98,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.010,Command Obfuscation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
99,veris,1.4.0,action.hacking,action.hacking.vector.Command shell,Remote shell,related-to,T1027.010,Command Obfuscation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
100,veris,1.4.0,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1027.011,Fileless Storage,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
101,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.011,Fileless Storage,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
102,veris,1.4.0,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1027.012,LNK Icon Smuggling,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
103,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.012,LNK Icon Smuggling,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
104,veris,1.4.0,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1027.013,Encrypted/Encoded File,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
105,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.013,Encrypted/Encoded File,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
106,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1027.014,Polymorphic Code,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
107,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1029,Scheduled Transfer,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
108,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1029,Scheduled Transfer,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
109,veris,1.4.0,action.malware,action.malware.variety.Export data,Export data to another site or system,related-to,T1030,Data Transfer Size Limits,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
110,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1030,Data Transfer Size Limits,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
111,veris,1.4.0,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,related-to,T1033,System Owner/User Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
112,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1033,System Owner/User Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
113,veris,1.4.0,action.malware,action.malware.variety.Profile host,Enumerating the state of the current host,related-to,T1033,System Owner/User Discovery,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
114,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
115,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036,Masquerading,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
116,veris,1.4.0,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
117,veris,1.4.0,action.malware,action.malware.vector.Email attachment,Email via user-executed attachment. Child of 'Email',related-to,T1036,Masquerading,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
118,veris,1.4.0,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
119,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.001,Masquerading: Invalid Code Signature,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
120,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.002,Masquerading: Right-to-Left Override,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
121,veris,1.4.0,action.social,action.social.variety.Forgery,"Forgery or counterfeiting (fake hardware, software, documents, etc)",related-to,T1036.002,Masquerading: Right-to-Left Override,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
122,veris,1.4.0,action.social,action.social.variety.Phishing,"Any type of *ishing.  Phishing always involves getting data from the victim. Phishing usually has some element of pretexting, but often it doesn’t rise to the level of an invented scenario. E.g. A fake google login page isn’t really pretexting.",related-to,T1036.002,Masquerading: Right-to-Left Override,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
123,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.003,Masquerading: Rename System Utilities,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
124,veris,1.4.0,action.malware,action.malware.variety.Rootkit,Rootkit (maintain local privileges and stealth),related-to,T1036.003,Masquerading: Rename System Utilities,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
125,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.004,Masquerading: Masquerade Task or Service,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
126,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.005,Masquerading: Match Legitimate Name or Location,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
127,veris,1.4.0,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1036.006,Masquerading: Space after Filename,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
128,veris,1.4.0,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.008,Masquerade File Type,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
129,veris,1.4.0,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.009,Break Process Trees,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
130,veris,1.4.0,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.010,Masquerade Account Name,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
131,veris,1.4.0,action.hacking,action.hacking.variety.Backdoor,Hacking action that creates a backdoor for use.,related-to,T1037,Boot or Logon Initialization Scripts,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
132,veris,1.4.0,action.hacking,action.hacking.vector.Backdoor,Hacking actions taken through a backdoor.  C2 is only used by malware.,related-to,T1037,Boot or Logon Initialization Scripts,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
133,veris,1.4.0,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1037,Boot or Logon Initialization Scripts,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
134,veris,1.4.0,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1037,Boot or Logon Initialization Scripts,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
