,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,tlctc_object_id,tlctc_object_name,tlctc_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
33,veris,1.4.1,action.hacking,action.hacking.variety.Path traversal,Path traversal. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
34,veris,1.4.1,action.hacking,action.hacking.variety.Profile host,Enumerating the state of the current host,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",Host enumeration uses designed system functions; it is reconnaissance carried out as function abuse on a system the attacker can already reach.,TLCTC Project,2026-09-18,2026-09-18
35,veris,1.4.1,action.hacking,action.hacking.variety.Prompt injection,Crafting malicious or misleading prompts to bypassing safety filters and executing unintended instructions in LLMs,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",Instructions placed in content the model is designed to read use the model's intended function; no code flaw and no foreign executable are involved (substrate-neutral reading used in the agentic-AI paths).,TLCTC Project,2026-09-18,2026-09-18
36,veris,1.4.1,action.hacking,action.hacking.variety.Reverse engineering,Reverse engineering. Child of 'Exploit vuln'.,no-cluster,none,"out of scope: attacker-side preparation, no step against the target system",2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","partition row: attack; Analysis of code or hardware in the attacker's own environment is preparation; no step touches the victim's system, so no cluster applies (threat potential, not a threat).",TLCTC Project,2026-09-18,2026-09-18
37,veris,1.4.1,action.hacking,action.hacking.variety.RFI,Remote file inclusion. Child of 'Exploit vuln'.,chain,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; companion after: #7 (the included remote file executes, R-EXEC); notation: #2 → #7; A server-role component passes an attacker-controlled path to an include function (#2, R-ROLE); the remote file it loads is foreign executable content, so a #7 step follows at execution (R-EXEC), as in the CWE-98 mapping.",TLCTC Project,2026-09-18,2026-09-18
38,veris,1.4.1,action.hacking,action.hacking.variety.Routing detour,Routing detour. Child of 'Exploit vuln'.,chain,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; companion after: #5 (interception of the detoured messages, R-MITM); notation: #2 → #5; VERIS lists routing detour under Exploit vuln: a flaw in how a server-role component handles routing or addressing headers lets the attacker redirect messages (#2, R-ROLE). The redirection gains position; the interception that follows is a separate #5 step (R-MITM).",TLCTC Project,2026-09-18,2026-09-18
39,veris,1.4.1,action.hacking,action.hacking.variety.Scan network,Enumerating the state of the network,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",Network enumeration uses designed protocol functions; it is reconnaissance carried out as function abuse from a position the attacker already holds.,TLCTC Project,2026-09-18,2026-09-18
40,veris,1.4.1,action.hacking,action.hacking.variety.Session fixation,Session fixation. Child of 'Exploit vuln'.,direct,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; The attacker fixes the victim's session identifier and then presents it as the victim's authenticated session: the system is deceived about who is authenticating, #4 (R-CRED, consistent with the CWE-384 mapping). The weak session management is the enabling condition, not a separate step.",TLCTC Project,2026-09-18,2026-09-18
41,veris,1.4.1,action.hacking,action.hacking.variety.Session prediction,Credential or session prediction. Child of 'Exploit vuln'.,direct,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",R-CRED; A predicted credential or session identifier is presented as another identity's proof of authentication: #4 (R-CRED). Guessing the identifier is preparation; the recorded step is its use.,TLCTC Project,2026-09-18,2026-09-18
42,veris,1.4.1,action.hacking,action.hacking.variety.Session replay,Session replay. Child of 'Exploit vuln'.,chain,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; companion before: the acquiring cluster (#9, #7, #3, #2, #10, #8 or #5); notation: <acquisition> → #4; Replaying a captured session token presents another identity's proof of authentication: credential application is #4 (R-CRED); the capture is a separate earlier step.",TLCTC Project,2026-09-18,2026-09-18
43,veris,1.4.1,action.hacking,action.hacking.variety.Soap array abuse,Soap array abuse. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
44,veris,1.4.1,action.hacking,action.hacking.variety.Special element injection,Special element injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
45,veris,1.4.1,action.hacking,action.hacking.variety.SQLi,SQL injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
46,veris,1.4.1,action.hacking,action.hacking.variety.SSI injection,SSI injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
47,veris,1.4.1,action.hacking,action.hacking.variety.URL redirector abuse,URL redirector abuse. Child of 'Exploit vuln'.,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",An open redirect is a designed function that accepts an untrusted destination; abusing it is #1 (consistent with the CWE-601 mapping). It typically enables a #9 lure or a #3 step that follows.,TLCTC Project,2026-09-18,2026-09-18
48,veris,1.4.1,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),chain,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; companion before: the acquiring cluster (#9, #7, #3, #2, #10, #8 or #5); notation: <acquisition> → #4; Authenticating with a credential that is not the presenter's own is always #4 (R-CRED, Axiom X); the acquisition is a separate earlier step whose cluster VERIS does not record. Default credentials count as stolen for this purpose.",TLCTC Project,2026-09-18,2026-09-18
49,veris,1.4.1,action.hacking,action.hacking.variety.User breakout,Elevation of privilege by another customer in shared environment. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; Escaping a tenant boundary exploits a flaw in the shared platform that serves the tenant; the boundary crossed is an intra-system annotation, not a classification input (R-INTRA-7).",TLCTC Project,2026-09-18,2026-09-18
50,veris,1.4.1,action.hacking,action.hacking.variety.Virtual machine escape,Virtual machine escape. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; The hypervisor serves the guest's requests; a flaw in it is a server-role flaw (R-ROLE, hypercall interface). The |[hypervisor]| boundary is an annotation only (R-INTRA-7).",TLCTC Project,2026-09-18,2026-09-18
51,veris,1.4.1,action.hacking,action.hacking.variety.XML attribute blowup,XML attribute blowup. Child of 'Exploit vuln'.,direct,#6,Flooding Attack,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-FLOOD; A document crafted to make attribute parsing quadratic exhausts finite processing capacity: #6 (R-FLOOD), the same shape as entity expansion.",TLCTC Project,2026-09-18,2026-09-18
52,veris,1.4.1,action.hacking,action.hacking.variety.XML entity expansion,XML entity expansion. Child of 'Exploit vuln'.,direct,#6,Flooding Attack,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-FLOOD; Recursive entity references make a small document expand into a resource-exhausting one: intensity exhausting finite capacity, #6 (R-FLOOD, consistent with the CWE-776 mapping).",TLCTC Project,2026-09-18,2026-09-18
53,veris,1.4.1,action.hacking,action.hacking.variety.XML external entities,XML external entities. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
